,0
3-D_Man,
A-Bomb_HAS,"Rick Jones has been Hulk's best bud since day one, but now he's more than a friend...he's a teammate! Transformed by a Gamma energy explosion, A-Bomb's thick, armored skin is just as strong and powerful as it is blue. And when he curls into action, he uses it like a giant bowling ball of destruction! "
A.I.M.,AIM is a terrorist organization bent on destroying the world.
Aaron_Stack,
Abomination_Emil_Blonsky,"Formerly known as Emil Blonsky, a spy of Soviet Yugoslavian origin working for the KGB, the Abomination gained his powers after receiving a dose of gamma radiation similar to that which transformed Bruce Banner into the incredible Hulk."
Abomination_Ultimate,
Absorbing_Man,
Abyss,
Abyss_Age_of_Apocalypse,
Adam_Destine,
Adam_Warlock,Adam Warlock is an artificially created human who was born in a cocoon at a scientific complex called The Beehive.
Aegis_Trey_Rollins,
Aero_Aero,
Agatha_Harkness,
Agent_Brand,
Agent_X_Nijo,"Originally a partner of the mind-altering assassin Black Swan, Nijo spied on Deadpool as part of the Swan's plan to exact revenge for Deadpool falsely taking credit for the Swan's assassination of the Four Winds crime family, which included Nijo's brother."
Agent_Zero,
Agents_of_Atlas,
Aginar,
Air-Walker_Gabriel_Lan,
Ajak,
Ajaxis,
Akemi,
Alain,
Albert_Cleary,
Albion,
Alex_Power,
Alex_Wilder,"Despite being the only one of the Runaways without any superhuman abilities or tech, Alex Wilder became the de facto leader of the group due to his natural leadership skills and intellect, as well as prodigy-level logic and strategy."
Alexa_Mendez,
Alexander_Pierce,
Alice,
Alicia_Masters,
Alpha_Flight,
Alpha_Flight_Ultimate,
Alvin_Maker,
Amadeus_Cho,
Amanda_Sefton,
Amazoness,
American_Eagle_Jason_Strongbow,
Amiko,
Amora,
Amphibian_Earth-712,
Amun,"Amun is a ruthless teenage assassin, employed by the Sisterhood of the Wasp to serve under the mage Vincent after Araña interrupted the ritual to initiate the Wasp's new chosen one."
Ancient_One,
Ancient_One_Ultimate,
Angel_Angel_Salvadore,"Driven out of home by her abusive step-father, fourteen-year old Angel Salvadore slept in the woods, where her mutant nature manifested itself in the form of a protective cocoon."
Angel_Thomas_Halloway,
Angel_Ultimate,
Angel_Warren_Worthington_III,
Angela_Aldrif_Odinsdottir,
Anita_Blake,
Anne_Marie_Hoag,
Annihilus,
Anole,
Ant-Man_Eric_O'Grady,
Ant-Man_Hank_Pym,
Ant-Man_Scott_Lang,
Anthem,
Apocalypse,
Apocalypse_Ultimate,
Aqueduct,
Arachne,
Araña,
Arcade,
Arcana,
Archangel,
Arclight,
Ares,
Argent,
Armadillo,
Armor_Hisako_Ichiki,
Armory,
Arnim_Zola,"The frail, dwarfish Arnim Zola was born in 1930s Switzerland where he became the world's leading biochemist and genetic engineer."
Arsenic,
Artiee,
Asgardian,
Askew-Tronics,
Asylum,
Atlas_Team,
Attuma,"Attuma was born into the tribe of Homo mermanus who eschewed civilization to live as nomadic barbarians. For some unrecorded reason, Attuma was endowed with strength far surpassing that of his people."
Aurora,
Avalanche,
Avengers,"Earth's Mightiest Heroes joined forces to take on threats that were too big for any one hero to tackle. With a roster that has included Captain America, Iron Man, Ant-Man, Hulk, Thor, Wasp and dozens more over the years, the Avengers have come to be regarded as Earth's No. 1 team."
Avengers_Ultimate,
Azazel_Mutant,"A mutant from biblical times, Azazel is the ruler of the Neyaphem and claims that the Earth and everything on it belongs to him."
Balder,
Banshee,
Banshee_Theresa_Rourke,"The daughter of former X-Men member Sean Cassidy, a.k.a. Banshee, and Maeve Rourke, Theresa Rourke was raised by her first cousin once removed, mutant terrorist Thomas Cassidy, a.k.a. Black Tom."
Baron_Mordo_Karl_Mordo,"Born in 1921, Karl Mordo was the son of Nikolai Mordo.  He vowed that, as the second Baron Mordo, he would achieve his father’s hopes and more."
Baron_Strucker,
Baron_Zemo_Heinrich_Zemo,
Baron_Zemo_Helmut_Zemo,
Baroness_S'Bak,
Barracuda,
Bart_Rozum,
Bastion,
Batroc_the_Leaper,
Battering_Ram,
Battlestar,Lamar Hoskins was once a wrestler who was given superhuman strength by the Power Broker.
Beak,
Beast,
Beast_Earth-311,
Beast_Ultimate,
Becatron,
Bedlam,
Beef,
Beetle_Abner_Jenkins,
Belasco,"Only the blackest of hearts would dare delve into the dark magic of the Elder Gods, but 13th Century sorcerer Belasco was of just such a heart."
Ben_Grimm,
Ben_Parker,
Ben_Reilly,"Ben Reilly was the most genetically stable of the many clones of Spider-Man created by Professor Miles Warren, the Jackal."
Ben_Urich,Ben Urich is a reporter for the Daily Bugle who has many ties to the city's superhero community.
Bengal,
Beta-Ray_Bill,
Bethany_Cabe,"Former CEO, bodyguard, and love interest of Stark Enterprises and Tony Stark."
Betty_Brant,
Betty_Ross,
Beyonder,
Bi-Beast,
Big_Bertha,
Big_Wheel,
Bill_Hollister,
Bishop,
Bishop_Ultimate,
Black_Bird,
Black_Bolt,
Black_Bolt_Marvel_War_of_Heroes,
Black_Cat,
Black_Cat_Ultimate,
Black_Crow,
Black_Knight_Dane_Whitman,"Nephew of the villainous Black Knight that went by the name of Nathan Garrett, Dane was summoned by his uncle when he was mortally wounded following a battle with Iron Man."
Black_Knight_Sir_Percy_of_Scandia,
Black_Panther,
Black_Panther_Shuri,
Black_Panther_Ultimate,
Black_Queen,
Black_Tarantula,
Black_Tom,
Black_Widow,
Black_Widow_LEGO_Marvel_Super_Heroes,
Black_Widow_Ultimate,
Black_Widow_Yelena_Belova,
Black_Widow_Natasha_Romanoff_MAA,"Natasha Romanoff, also known as Black Widow, is a world-renowned super spy and one of S.H.I.E.L.D.'s top agents. Her hand-to-hand combat skills, intelligence, and unpredictability make her a deadly secret weapon. True to her mysterious nature, Black Widow comes and goes as she pleases, but always appears exactly when her particular skills are needed."
Blackheart,
Blacklash,
Blackout,
Blade,
Blastaar,
Blazing_Skull,
Blindfold,
Bling!,"The mutant Roxy Washington was born into hip-hop ""royalty"" as the daughter of two famous hip-hop stars and has the power to produce diamonds of varying quality and can expel diamond shards from her body at high velocity."
Blink,
Blizzard,
Blob,
Blob_Ultimate,
Blockbuster,
Blok,
Bloke,
Blonde_Phantom,
Bloodaxe,
Bloodscream,
Bloodstorm,
Bloodstrike,
Blue_Blade,
Blue_Marvel,
Blue_Shield,
Blur,
"Bob,_Agent_of_Hydra","A cowardly young man, Bob was persuaded into joining the criminal organization HYDRA and has had numerous encounters with Deadpool and other Marvel heroes."
Boom_Boom,"When Tabitha Smith's mutant nature manifested at age 13, she ran away from her abusive home and eventually hooked up with the New Mutants and, subsequently, X-Force."
Boomer,
Boomerang,
Box,
Bride_of_Nine_Spiders_Immortal_Weapons,
Bromley,
Brood,
Brother_Voodoo,
Brotherhood_of_Evil_Mutants,
Brotherhood_of_Mutants_Ultimate,
Bruce_Banner,
Brute,
Bucky,
Bug,
Bulldozer,
Bullseye,
Bushwacker,
Butterfly,
Cable,
Cable_Deadpool,
Cable_Marvel:_Avengers_Alliance,
Cable_Ultimate,
Cable_X-Men:_Battle_of_the_Atom,
Calamity,
Caliban,
Callisto,
Callisto_Age_of_Apocalypse,
Calypso,
Cammi,
Cannonball,
Cap'n_Oz,"William was born into the ClanDestine, making him a creature that is part magic.  After events surrounding the death of his brother Vincent, he moved to Australia where he started an acting career as the superhero Cap'n Oz."
Captain_America,"Vowing to serve his country any way he could, young Steve Rogers took the super soldier serum to become America's one-man army. Fighting for the red, white and blue for over 60 years, Captain America is the living, breathing symbol of freedom and liberty."
Captain_America_House_of_M,
Captain_America_LEGO_Marvel_Super_Heroes,
Captain_America_Marvel_War_of_Heroes,
Captain_America_Sam_Wilson,"<p class=""Body"">Sam Wilson, a Harlem native, previously operated under the name Falcon, fighting alongside the Avengers. When his longtime friend Steve Rogers stepped down as Captain America, Wilson was hand-picked to fill the role. Now the former Falcon soars through the skies wearing red, white and blue.</p>"
Captain_America_Ultimate,
Captain_America_Steve_Rogers_MAA,"During World War II, Steve Rogers enlisted in the military and was injected with a super-serum that turned him into super-soldier Captain America! He's a skilled strategist and even more skilled with his shield, but it's his courage and good heart that makes Captain America both a leader and a true hero. "
Captain_Britain,
Captain_Britain_Betsy_Braddock,
Captain_Britain_Ultimate,
Captain_Cross,
Captain_Flint,
Captain_Marvel_Carol_Danvers,
Captain_Marvel_Genis-Vell,
Captain_Marvel_Mar-Vell,
Captain_Marvel_Monica_Rambeau,
Captain_Marvel_Phyla-Vell,
Captain_Midlands,
Captain_Stacy,NYPD Captain George Stacy was the father of one-time Peter Parker girlfriend Gwen Stacy.
Captain_Universe,
Cardiac,
Caretaker,
Cargill,
Carlie_Cooper,
Carmella_Unuscione,Carmella Unuscione was one of the first members of the Magneto's Acolytes.
Carnage,
Carnage_Ultimate,
Carol_Danvers,
Carol_Hines,
Carrion_Malcolm_McBride,"Malcolm McBride was transformed into Carrion after coming into contact with a Carrion ""virus"" left behind by the High Evolutionary of the Cult of the Jackal in an effort to discredit the actions of the first Carrion."
Cassandra_Nova,
Catseye,
Cecilia_Reyes,
Celestials,
Centennial,
Centurions,
Cerebro,
Cerise,
Ch'od,
Chamber,
Chameleon,
Champions,
Changeling,
Charles_Xavier,
Charlie_Campion,
Charlie-27,"Like all those who were to live on Jupiter, Charlie's body was bio-genetically engineered to withstand Jupiter's gravity (triple that of Earth), thus giving him a massive body and corresponding strength and endurance."
Chase_Stein,Chase Stein is the son of mad scientists Victor and Janet Stein and is the tech genius of the Runaways.
Chat,
Chimera,
Chores_MacGillicudy,
Christian_Walker,
Chronomancer,
Chthon,"Chthon is a demon taht possesses incalculable magical power, controlling every aspect of the dimension in which he is trapped."
ClanDestine,
Clea,
Clea_Ultimate,
Clint_Barton,
Cloak,
Cloud_9,
Cobalt_Man,
Colleen_Wing,"Colleen Wing was raised in Japan by her grandfather Kanji Ozawa, who taught her the ways of a samurai, in which she became highly skilled, after which she teamed up with Misty Knight at the behest of Tony Stark as a new Heroes for Hire tasked with capturing superhumans who have not registered."
Colonel_America,
Colossus,
Colossus_Ultimate,
Confederates_of_the_Curious,
Constrictor,
Contessa_Vera_Vidal,
Controller,
Cornelius,
Corsair,
Cosmo_dog,
Cottonmouth,
Count_Nefaria,
